source,target
I break my word,I broke my word
Teaching is Learing,Teaching is Learning
say hello to everyone !,hello everyone !
Election day ( s ),Election Day ( s )
I study English from today,"From Today , I 'm Studying English"
terribel day,terrible day
Be a good supervisor,Being a good supervisor
The reason why most of the Japanese people ca n't be able to speak English .,The reason why most of the Japanese people can not become able to speak English .
The advantages and / or disadvantagges of public transportation .,The advantages and / or disadvantages of public transportation .
Summer 2010 year,Summer year 2010
My son meal,My son 's meal
I am tired both in physical and psychology 1,I am tired ! Both in physically and mentally 1
Not going well between me and my girlfriend .,Things are not going well between my girlfriend and I
Long time has passed since I wrote my last entry .,A Long time has passed since I wrote my last entry .
I need coins to fetch a stuffed animal out of the UFO catcher machine . ~ In a Japanese Video Arcade ~,I need coins to fetch a stuffed animal out of a UFO catcher machine ( In a Japanese Video Arcade ~ ) .
Today is my first day,Today is the first day
I found the friend on lang - 8 in FFXIV .,I found my friend on lang - 8 in FFXIV .
Better by little,"Better , little by little"
God Bless You .,God Bless You
Words can not describe .,Words Can Not Describe .
Long time no seen ! !,Long time no see ! !
My first American pop music .,The first American pop music I listened to .
Unbeliverable ! Who Are They . The Avatar,Unbelievable ! Who Are They ? The Avatar
My target of studying English,My target of English study
The teacher ( Part2 ),The Teacher ( Part 2 )
It 's not so easy !,It 's not so easy !
Important thing what I think important thing when person alive today .,What I think is important for people living today
About IELT TEST,About IELTS TEST
I have brought the camera from Taobao .,I bought a camera from Taobao .
Learning Speaking English On Lang - 8 By Audio Recording,Learning To Speak English On Lang - 8 By Audio Recording
little bit about Poland,A little bit about Poland
Englis as a second language,English as a second language
Post from itouch,Post from iTouch
take a day off,Taking a day off
I have no money for using air conditioner,I have no money for using the air conditioner .
Think after buy it .,Think after you buy it .
I was a little disappointed at the result .,I was a little disappointed at my result . / Disappointing results
Become english story teller for my daughter,I became an English story teller for my daughter .
1st diary,1st diary entry
Korian 's Weather,Korean Weather
Surplus is used to a new story .,Surplus is used for a new story .
I love K - on ! ! ( Keion ! ! ),I Love K - on ! ! ( Keion ! ! )
I got iPhone 3GS,I got an iPhone 3GS !
Youyube caption download,Youtube caption download
hi . . .,Hi . . .
I still not understand how I use this site !,I still do n't understand how to use this site !
the Vietnam trip during my summer vacation !,Trip to Vietnam for my summer vacation !
A Loss of Companion Animal,The Loss of A Companion Animal
my name is kawa,My name is Kawa
The meeting of tour guide volunteer grope,The meeting of tour guide volunteer group
strange weather,Strange weather .
Eggs has come,Eggs have come
The faithful translation may be mistranslation .,Literal translations may be bad translations .
Hello lang - 8 users . This is my first daily .,Hello lang - 8 users . This is my first diary .
Welcome party ( Could anybody modify my sentence ),Welcome Party ( Could anybody modify my sentence )
Ski in the USA,Skiing in the USA
"Let me introduce my favorite american drama , `` The Office `` .","Let me introduce my favorite American comedy , `` The Office . ``"
I really want to !,I really want to knit something !
"recentry , my hobby","recently , my hobby"
Please fix this article more easy to read . ( Part . 2 ),Please fix this article so that it will be more easy to read . ( Part . 2 )
"Sometimes a perplexed language , `` Japanese `` , even though we are Japanese .","Sometimes the Japanese language perplexes us , even though we are Japanese ."
My Son 's English,My son 's English
hi there,Hi there
OMG forget !,OMG I forgot !
It takes long time . . .,It has been a long time . . .
My Plan in Summer,My Plan for ( this ) Summer
The car shareing system,The car sharing system
Time Is Money !,Time is Money !
The beautyful flowers,The beautiful flowers
Need English Scorecard,Need English Scorecard
It 's Letter of complaint for psychologic journal,This is a letter of complaint for a psychological journal
"Hey , I made account","Hey , I made an account"
This is last week to work in my job,This is the last week I will be working at my job
My first time Journals,My first Journal
hello ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !,Hello ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !
Special class,Special Class
I had a free time today .,I had free time today .
movie with subtitles or movie dubbed,Movies with subtitles or Movies being dubbed ?
About Japanese English level,About Japanese people 's English ability
A interview,An interview
Hello ! everyone !,Hello Everyone !
"I want learn english , help me , please ! !","I want to learn English . Help me , please !"
The new sneaker !,My new sneakers !
next week ! exam ! ! !,next week ! exams ! ! !
Come back my home,I 've come back home
set free from now,I am now free !
I servived today ~ haha,I survived today ~ haha
healthy kutlet,healthy cutlet
let 's go outside,Let 's go outside
My music please now,My music please listen now .
Rainny season,Rainy season
nice to meet you .,Nice to meet you .
I went to business event .,I went to a business event .
Children 's Song Is Our Property,Children 's Songs Are Our Property
I 'm studying for the test that I 'm having in about one month .,I 'm studying for a test that I 'm having in about one month .
Silver soul,Silver Soul
self intorodaction,self introduction
Happy Woman 's day !,Happy Women 's day !
Nice meeting to you,Nice to meet you
The incurcion of typhoon,The Incursion of a Typhoon
"hello , everybody ~ coming here first time","hello , everybody ~ coming here for the first time"
2011 / 08 / 10 Do communicate with love,2011 / 08 / 10 Do Communicate with Love
I want to eat chinese food .,I want to eat Chinese food .
My firts lang .,My First Journal Entry .
Going a festival,Going to a festival
what is your first reaction ?,What is your first reaction ?
I catch a cold,I caught a cold .
product have a choice,Choose a product .
I watched fan movie .,I watched a fun movie .
Otaku worlds sometimes help me .,Anime sometimes helps me
Runnimg with my friends,Running with my friends
not lose weight,Not losing weight
wrong order,The wrong order
"When you feel so depressed , what would you do ?","When you feel very depressed , what would you do ?"
A young man who live in Colombia .,A young man who lives in Colombia .
Hello frineds .,Hello friends .
Which is elder on twins ?,Which is the elder of the twins ?
Zamzm : Holy Water,Zamzam : Holy Water
Japan and earthquakes,Japan and Earthquakes
What is the pose,What is this hand gesture ?
Bankluptcy by eathquake,Bankruptcy by eathquake
Pround to be Spanish,Proud to be Spanish
I left my celler phone .,I left my cell phone .
My favorite sound and words,My favorite sounds and words
Foot Ball ( Soccer ),Foot Ball ( Soccer )
Do you have any your original ideas ?,Do you have any original ideas ?
I ` ve been to travel ~ ! !,I ` ve been traveling ~ ! !
Today is staudying english day .,Today is English studying day .
The Exercise .,Exercise .
mystery of double check,The mystery of double check
Mr . Cold came back to my son again,Mr . Cold came back to my son again
"Hi , I 'm looking for New - friend .","Hi , I 'm looking for some new friends ."
My wife got indisposed yesterday .,My wife got illyesterday .
Meeting a friend in age encouraged me to focus on study !,Meeting a friend in age encouraged me to focus on studying !
very sleepy,Very sleepy
getting colder in Tokyo,It 's getting colder in Tokyo
my first writing,my first entry
I and Dbrick hunt crabs,Dbrick and I hunt crabs
"Yesterday , I got drank very much .","Yesterday , I got really drunk ."
How can we have an opportunity of global discussion ?,How can we have an opportunity to enter a global discussion ?
Let 's we talk nice things from our experiences to the children or the person who younger than us .,Let 's we talk nice things from our experiences to children or the people younger than us .
Early in the morning Day3,Early in the morning Day 3
Noodle Shop,Noodle Shop
Re - check at tomorrow .,Re - check tomorrow .
The First Challenge for Rock Climbing,The First Challenge For Rock Climbing
The frist day,The first day
It is the first time wrinting my journal in a whole year ! !,It is the first time I 'm writing my journal in a whole year ! !
Review my plan that have defined at beginning of the year,A review of my plan that was defined at the beginning of the year
What happen in USA !,What happened in the USA !
I fell Something bad . . .,I feel Something bad . . .
Let 's read much book !,Let 's read a lot of books !
"We Can Reply to Comment Now , in Lang8 ^ _ ^",We Can Reply to Comment Now in Lang8 ^ _ ^
My 8th diary on December 5 .,My 8th diary on December 5th .
A Mysterious Phenomenon of the Japanese Sky,A Mysterious Phenomenon of the Japanese Sky
Do you know the country ?,Do you know of any countries ?
my favorite inter nets,my favorite inter nets my favorite internet sites .
My cumpany profit 30 % down ( 29th in June ),My company 's profit was 30 % down ( 29th in June )
I have started studying writing English .,I have started studying and writing English .
Hangover Work,Hangover at Work
What language do you talk when you talk with foreigner ?,What language should you speak when you talk with foreigners ?
Forcast of this week,Forecast of this week
my god ! what a cold day !,My god ! What a cold day !
Hi ! ! Everybody of Lang - 8,"Hi , everybody of Lang - 8 !"
today is good weather !,The weather is good today !
something about my,something about me
today is new day,today is a new day
difficulty of explain the function of my body in words,difficulty to explain the functions of my body in words .
2009 very soon !,Its 2009 very soon !
I and Naomi will get married soon ! !,Naomi and I will get married soon ! !
How do you get over with . . .,How do you get over it . . .
Fun of Guitar,Fun of playing the Guitar
this is the first diary,This is my first diary
I want to buy a iphone !,I want to buy an iphone !
How to improve my English composition writing ~ ~ ~,How to improve my English essay writing ~ ~ ~
I caught 2 cats and released in woods park .,I caught 2 cats and released them in a woody park .
SUSHI,SUSHI
My problem,My Problem
TODAY ' S MY ENGLISH CLASS,TODAY ' S ENGLISH CLASS
my new job,My new job
Shipping mothod,Shipping method
Ashamed to my behavior,Ashamed of my behavior
what a software .,What A Software .
Offering seat,Offering a seat
A Cammpaign Speech,A Campaign Speech
The first time,The first time
soon coming . . .,Coming Soon . . .
bad day,Bad day
I gave other offer to a seller .,I gave another offer to a seller .
Long time have passed,A long time has passed
`` I am calrified on what you said ``,`` I am clear on what you said ``
long blank,long absence
The Neighbor Shopping Mall Opened,The Local Shopping Mall Opened
"Absolutely , I will miss her ( T _ T )",I will miss her ( T _ T )
grumpy and grouchy,grumpy and grouchy
I want to know about some sentence expression .,I would like to learn something about expressions .
How can you get friends in this SNS ?,How can you get friends in this SMS ? + Short Message Service +
It 's first time to white diary,It 's my first time writing a diary .
I start lang8 again .,I 'm starting lang - 8 again .
My second diary is about my graduation thesis,My second diary entryis about my graduation thesis
smell of Spring,The Smells of Spring
Harry Potter and the Deathry Hallows,Harry Potter and the Deathly Hallows
Aug 25 2011 . Shopping with my daughter .,Aug 25 2011 . Shopping with My Daughter .
I learn english,I will learn english .
Preparing for travering,Preparing for traveling
Please Encourage Japan,Please Support Japan
When does English become from noise to words in my mind ?,When does English change from noise to words in my mind ?
today is a special day,Today is a special day
What do you make efforts ? ?,How do you make an effort ?
Learning a language needs a lot of practice .,Learning a language requires a lot of practice .
It 's raining season these day .,It 's rainy season .
Somethings about me,Something about me
many nationality ! !,many nationalies ! !
Poor Mom Never Gets Rest,Poor Mom Never Gets Any Rest
A new start for my English learning,A new start for my English learning .
a ticket to GOLD COAST,A ticket to the GOLD COAST
My Friend Going Back Home,My Friend Is Returning Home
Japanese economy,Japanese Economy
My opinion about a happiness,My opinion about happiness
Today 's my day .,My day .
I Want To Have A Better Brain,I Want to Have a Better Brain
To get angry,Getting angry
it 's time to hard to learn English,It 's time to learn English
The second diary actually is really difficult to be written,The second diary actually is really difficult to write .
Seoul is getting crowded after finishing holiday,Seoul is getting crowded after the holidays
I did n't know how to think for way of buisiness .,I do n't have a good head for business .
this is a first day .,This is a first day .
what 's different ?,What 's the difference ?
I start to study speeking English,I am starting to study English
09 / 10 / 10 - Bar Night ( how do you say ? ),09 / 10 / 10 - Night at the Bar
Cleaning day,Cleaning Day
What is cloud,What is cloud ?
I stay up late again,I stayed up late again
The number of sending messages in Lang - 8,The number of sending messages in Lang - 8
An e - mail to university,An e - mail to a university
I steeled myseif to start running,I steeled myself to start running
test writing,Test writing
My Latest,My Latest Update
I think so cute,I think Kaera Kimura is so cute
The word I want to use most often in this site,The word I want to use most often on this site
Cherry blossms,Cherry Blossoms
Too difficult to know how difference `` That `` and `` Which `` ! !,It is too difficult to know the difference between `` That `` and `` Which `` ! !
Too much drank,Too much to drink .
It 's been so long time to visit here . . .,It 's been so long since I visited here . . .
Farewell party,Farewell Party
a very boring day in my work,A very boring day at my work
"In the library , talk to myself","In the library , talking to myself"
I do not feel this does not really match . Please tell me if there are any better words .,I do not feel that this matches . . Please tell me if there are any better words .
I 'm too busy or I 'm too lasy,I 'm too busy or I 'm too lazy
I decided to change my way .,I have decided to change my ways .
Early in the morning,Early in the Morning
I love to play video game,I love to play video games
Mars at the sky .,Mars in the sky .
Is this a wrong thing ?,Am I wrong about this ?
Is society doing enough to deal with violent crime .,Is society doing enough to deal with violent crime ?
Hello everyone !,Hello Everyone !
My first days in new school . . .,My first days in a new school . . .
Everybody are kind teacher ^ ^,Everybody are kind teachers ^ ^
Tokyo Disney Land,Tokyo DisneyLand
like a Jackie chen,Like Jackie Chan
Essay : One of the pleasant and memorable place in Japan,Essay : One of the pleasant and memorable places in Japan
I am a freshman here .,I am a freshman here in Guangdong .
"Yesterday is very fun , but . . .","Yesterday was a lot of fun , but . . ."
I was cooking - day today .,I was cooking a lot today
muscle pain . . .,Muscle pain . . .
Just say hello to my new friends,Just saying hello to my new friends
waiting for the holiday,Waiting for the holidays
Marry Christmas !,Merry Christmas !
no study,No study
"one day a dairy , keep English near","one day , one diary , keep English near"
lucky n unlucky,lucky and unlucky
Are your best refrigerator ?,Which refrigerator is the best ?
I love basketball ! !,I love basketball ! !
Nicwe to meet you,Nice to meet you .
I wundering .,I was wondering .
"Women , Do n't stop being beautiful !","Women , Do n't Stop Being Beautiful !"
no outsite no story to talking with my friends .,"Not outside , no stories to talk about with my friends ."
What food is the best ?,What is the best food ?
Preparing Tax Return,Preparing for a Tax Return
yes you do,"Yes , you do"
Menu in restaurants .,Restaurant menus .
Learn english,Learn English .
the daughter 's birthday,The Daughter 's Birthday
How do I cultivate my English vocabulary ?,How do I improve my English ?
Please thell me difference,Please tell me the differences
Look for new address,Looking for a new address
Bon holiday,The Bon Holiday
What a movie do you like ?,What movies do you like ?
Find out next Apartment,Finding my next apartment
Are these correct ? Which is better ? ( When I talk to american . ),Are these correct ? Which is better ? ( When I talk to an American . )
A reason why I am less talking with people whose mother tongue is same as me .,A reason why I talk less often with people whose mother tongue is the same as mine .
I wrote this first time,I wrote this for the first time
Japanese Language,Japanese Language
15 minutes fairly tales,15 - second fairly tales
Foreighners speaking in Kansai - ben as a challenging topic,Foreigners speaking in Kansai - ben as a challenging topic
plase help me ! ! ! it urgent ! !,please help me ! ! ! it 's urgent ! !
So much fun weekend ! ! ! !,A very fun weekend ! ! ! !
Am I not qualified for a manager ?,Am I not qualified to be a manager ?
My friend is depression,My friend is depressed
My holydays,My Holiday .
So young,So Young
It started !,It 's started !
A more beautifl Lang - 8,A more beautiful Lang - 8
"Please correct these sentences . If some sentences are needed , please add new one .","Please correct these sentences . If additional sentences are needed , please add them ."
The programing exam .,The programming exam .
English is so hard .,English is so FUN .
"I need you help , friends","I need your help , friends"
What made me been in the U . S,What made me come to the U . S
"100222 Study law in English , Wah !","100222 Studying law in English , Wah !"
A good speech keep upset away,A good speech keeps upset away
Dary start,Diary start
I love the beatles .,I love The Beatles .
"8 , March",8-Mar
Overtime work,Overtime Work
Japanese Artist and my hobby,Japanese Artists and my hobby
My unforgetable winter cacation,My unforgettable winter vacation
"Shiretoko , the UNESCO world heritage .","Shiretoko , the UNESCO world heritage ( site ) ."
Need help ? Well me too !,"Need any help ? Well , me too !"
This is my first posring .,This is my First Post
Shopping on Line,Shopping Online
What are the ways to express one 's greatefulness ?,What are the ways to express one 's gratitude ?
Note from 2009 / summer,Note from summer 2009 :
My computer was broken .,My computer brokedown .
I just start this .,I 've just started this .
Exams week start . . .,Exams week start . . . Exams start this week .
How to remmenber more words and ues it rightly,How to remember / memorize more words and use them rightly
This is my first writings . Hellow pals ! !,This is my first writing . Hellow pals ! !
Do Japanese women love Caucasians ?,Do Japanese Women Love Caucasians ?
A email from The sun,An email from The Sun
Gave the lawn a fertilizer,Gave the lawn some fertilizer
Here comes Kwan !,Here Comes Kwan !
why I do n't sleep,why am I not asleep
Relation is difficult .,Relationships are difficult .
About the animation : Fullmetal Alcheminist,About the animation : Fullmetal Alchemist
Thank you for correcting my English .,Thank you for correcting my English .
New newcomers 8 - >,Newcomers 8 - >
visiting shrines on New Year Day,Visiting shrines on New Year 's Day
Conflict Between Insurance And Credit Card Companies .,Insurance vs . Credit Card Companies
There are so many play which I want to see .,There are so many plays that I want to see .
I 'm looking forward to go on a business trip to Vietnam .,I 'm looking forward to go on a business trip to Vietnam next week .
Chocolate Shop,The Chocolate Shop
I just finished taking shawer .,I just finished taking shower .
Employment Test,The Employment Test
The pretty flowers came my home .,The pretty flowers came to my home .
The Catcher in the rye,The Catcher in the Rye
Is it big deal ?,Is it a big deal ?
I am a Cantonese,I am Cantonese
I May Not Call It a Therapy,I May Not Call It a Therapy . . .
How many do you have a year - end party ?,How many year - end parties do you have ?
IT ' S NEW DAY,IT ' S A NEW DAY
cosmestic surgery,Cosmetic surgery
The presentation of Steve Jobs,The Presentation of Steve Jobs
I Will Become Busy,I Will Be Busy Soon
Life is gambling !,Life is a gambling game !
Get a new jeans,Buying new jeans
The brownout was finished,The brownout is over
The difference between American food and Japanese food in sense of taste,The differencesbetween American food and Japanese food in regards totaste
English lessen,English lesson
Feel tired,I feel tired
It snowed all the day,It snowed all day .
today is weekend,the weekend starts today
7000 $ or jailed,$ 7000 or jailed
I cut my English class today . . .,I skipped my English class today . . .
it is my diary .,This is my diary .
First Day in Lang - 8,First Day on Lang - 8
Prease tell me your answer .,Please answer .
my part time work,my part time job
It 's on a rainyday,It 's a rainy day
I 'm interested in European Payment system .,I 'm interested in the European payment system .
poor weather forcast in Shanghai,poor weather forecast in Shanghai
How should I understand the following sentence ?,Help understand the following sentence .
leaves of trees,tree leaves
Japanese people are adent insect fan,Japanese people are ardent insect fans
a gay want to learn english,A guy who wants to learn english
"After watching a Chines movie , ' Hear me . '","After watching a Chinese movie , ' Hear me . '"
Hard - boiled wonderland and The End of the world,Hard - boiled Wonderland and The End of the World
Blood Donation,Blood Donation
This is first time to write `` Lang - 8 ``,This is first time I 'm writing on `` Lang - 8 ``
What does `` good teacher `` mean to students ?,What does `` a good teacher `` mean to students ?
Hi hi,Hi
I ca n't wait season premiere of The Office .,I ca n't wait for the season premiere of The Office .
Do you speek English ?,`` Do you speek English ? ``
Breathing Exercize,Breathing Exercise
Frist day,First day
I started Diet .,I started Body building
E - mai,E - mail
I am young,I am young
Past experence ( Please someone help me . This friday I am going to do the exam and I will write this in the exam . ),Past experiences ( Please someone help me . I am going to write this topic in this Friday 's exam . )
Work hard !,WorkingHard !
Reaching to the Sky,Reaching to the Sky
What is in word ? Part 1,What is in a word ? Part 1
Why can you drink many glasses of beer in a short time ? ( 1 ),Why can you drink many / several glasses of beer in a short time ? ( 1 )
Bad memory of fireworks show,A bad time at the fireworks show
Working on holiday,Working on holiday
I winned the ticket by lot .,I won the tickets by lottery
The Japanese chiks are easy targets,Japanese chicks are easy targets
Alcohol and Drung Education Program,Alcohol and Drug Education Program
World Figure Skating Championships was held in Trin !,World Figure Skating Championships held in Trin !
To continue someting will bring you a big power .,To continue something will bring you great power .
it was a hard day,It was a hard day .
one day in summer,One day in summer
I Went To Club ! ! !,I went to a club ! ! !
"Hi , nice to meet you , I visit here first time ! !","Hi , nice to meet you , I am visiting here for the first time ! !"
cold or pollen allergy,cold or pollen allergy
Japanese comic is a part of my life,Japanese comics are a part of my life
Christmas soon,Christmas is coming soon
Tomato jally,Tomato Jelly .
who is powerful ?,Who is Powerful ?
I Woke Up Now,I Just Woke Up
What doed this E - mail mean ?,What does this e - mail mean ?
I was in a bind ! ! !,I could n't find my keys ! ! !
Let 's go to sea when it clear up ! ! !,Let 's go to the sea when it clears up ! ! !
I met a friend who since when I was high school stduent today,I met a friend from high school today .
My hometown Gimhae,My hometown is Gimhae
"One of the world biggest earthquakes hit Japan on March 11th , 2011 .","One of the world 's biggest earthquakes hit Japan on March 11th , 2011 ."
How I can hear English speaking by many peoples rouding table ?,How can I hear English spoken by many people sitting around a table ?
The sheets are made of towel cloth,The sheets are made out of towel cloth .
New plans about studying English,New plans for studying English
I am ao sleepy,I am so sleepy
I want a Android cell phone .,I want an Android cell phone .
in the way home,On the way home
A question in my test,A question from my test
new friends .,New friends .
I was a dayoff today .,Today was a day off .
I enjoied in this summer !,I enjoyed this summer !
Home - made pickled ginger,Home - made Pickled Ginger
I 'm staying toukyou now .,I 'm staying in Toukyou now .
Sock !,Shock ! ( ? )
a little accident,A little accident
when Japan come spring,When spring arrives in Japan
A house for rent,A House for Rent
snow in Shanghai,Snow in Shanghai
A wonderful Information .,Some wonderful information .
I want study english well,I want to study English well
I will move to 3min . to walk .,I will be moving to a place within 3min . walking distance .
New Begining !,New Beginning !
Nice to see you !,Nice to meet you !
Hello . friends,Hello friends
Where 's my easytone ?,what is it ?
Niece was born,My niece was born
Vioiln .,Vioiln . - > Violin
I signed up for a Jazz Piano On Line Lesson,I signed up for a Jazz Piano online lesson .
Help me ! !,Help Me ! !
Typhoon will come .,A typhoon is coming .
Magnitude 7 . 4 struck Japan again .,A magnitude 7 . 4 earthquake struck Japan again .
The trip and changing house,The trip and moving house
Is this sentenses correct ?,Are these sentences correct ?
My opinion on islamization of Europe,My opinion on the Islamization of Europe
"Hi , this is my first post ! )","Hi , this is my first post !"
I cound n't get up,I could n't get up
"Hi , I 'm a new exchage student of Aalto Univ . in Helsinki .","Hi , I 'm a new exchange student of Aalto Univ . in Helsinki ."
How can I learn english ?,How can I learn english ?
Japanese youngs do not like shopping .,Japanese young people do not like shopping .
Why Do You Think That You Should Develop Your English Pronunciation ?,Why Do You Think You Should Develop Your English Pronunciation ?
I had several kinds of happening during last 2 months .,I had several kinds of things happening during the last 2 months .
My trip to U . S . A,My trip to the U . S . A
happy birthday to me *,Happy birthday to me !
bought the train toy .,bought a toy train .
"Alice ' s performance , the best ever I heard","Alice ' s performance , the best I ever heard"
One quiz fom my friend,One joke from my friend
english writting pratice1 ( someone help me correct it ? ),English writting practice1 ( please help me correct it )
The first essay,My first essay
Do you believe in Vampires ?,Do you believe in Vampires ?
Do you believe fairy tale things ?,Do you believe in things from fairy tales ?
Excuse for today 's overslept,Excuse for today 's oversleeping
it 's first time ! !,It 's my first time ! !
The life is beautiful,life is beautiful
So scare ~ ~ ~ ~ ~,So scared ~ ~ ~ ~ ~
Start Lang - 8 from today !,Start Lang - 8 today !
what are these mean ?,What do these mean ?
a event in a subway,An event in a subway
What are you going to do on this weekend ?,What are you going to do this weekend ?
Have stiff shoulders,I Have stiff shoulders
A Good Point to Live Close to the Office,A Good Point to Living Close to the Office
preparing for studying abroad,Preparing for studying abroad
its good day,It 's good day
Strange weather,Strange Weather
I earn money just by talking in english 30minuits ! ! !,I earn money just by talking in english 30 minutes ! ! !
Update my driver 's license,I updated my driver 's license
I 've been read Wondeful wizeard of Oz .,I 've been reading The Wondeful Wizard of Oz .
I went on the picnic !,I went on a picnic !
Shoking News,Shocking News
I 've translated a japanese `` snowy land `` joke,I 've translated a Japanese `` snowy land `` joke
I tried `` Lang - 8 `` first time,I tried `` Lang - 8 `` for the first time .
A First Greetings to every body,Greetings to everybody
My first dairy,My first dairy
How difference in the tone between English and Japanese ?,How different the formality is between English and Japanese ?
Hello new world !,"Hello , new world !"
Nothing to write,Nothing to Write
Fall is comming ~,Fall is coming ~
hobbies and like things,hobbies and things I like
The purpose of exercise,The purpose of exercise
Internal Customer Service and External customers Service,Internal Customer Service and External Customer Service
Nice Friday .,A Nice Friday .
Libya 's crisis,Libya 's Crisis
Go to the Dentist,Going to the Dentist
Many earthquakes occurs again and again . . .,Many earthquakes occur again and again . . .
how to improve my English,How to improve my English
Would you help my translation . . .,Would you help with my translation . . .
If money is a good thing . Can it do anything ?,"If money is a good thing , can it do anything ?"
It is chill .,It is chilly .
Do you know the yes men ?,Do you know the Yes Men ?
A beatiful actress passed away,A beautiful actress passed away
last weekend,Last weekend .
I am lerning English language ! ! ! !,I am learning the English language ! ! ! !
Stress . . I 'm so stress,Stressed . . I 'm so stressed
Start writing dialy in English,Start Writing Daily in English
just start now,just starting now
let 's start !,Let 's start !
Describe a person who has good leadship .,Describe a person who has a good leadership .
Manga magazine only about cats !,A manga magazine only about cats !
What 's U Usually do on Weekends ? ~,What do u usually do on the weekends ? ~
I do n't give up studying English,I do n't give up studying EnglishI wont quit studying English .
Wanton noodle,Wanton noodles
my self - introduction,My Self - Introduction
Nightmare of exam,Nightmare of an exam
Unmindful Riding,Absent - minded Riding
My classmate,My classmates
New friend,New Friend
Hey ! I 'm come back !,Hey ! ! I 'm back ! / I come back !
I want to study English !,I Want to Study English !
let 's try !,Let 's try !
I talked my friend this evening .,I talked to my friend this evening .
Bored day,Boring day
Tset week,Test week
My newl computer,My new computer
"As I found new word , I 'm using .","As I found a new word , I 'm using it ."
The Way of Recycle of The Failure Cooking,The Way to Recycle Failed Meals
Do you prefer writing or face to face when you are complaining ?,Do you prefer writing ( an email or letter ) or meeting face to face when you are complaining ?
Finished final exam !,Finished the final exam !
My first post : ),My First Post : )
Allow Me To Remaind You,Allow Me To Remind You
My garden,My Garden
* ~ why you appeared in my life ~ *,* ~ why do you appeared in my life ~ *
Thank you Lord !,"Thank You , Lord !"
"Finally , I know why so much Chinese rich want to escape this county now .","Finally , I know why so many rich Chinese want to escape this county now ."
The Olympic,The Olympics
Mid Tests start today v _ v,Midterm Tests start today v _ v
I am a younster !,I am the youngster
It 's increadably hot today !,It 's incredibly hot today !
The story how I met my wife,The story how I met my wife .
No time to read,No Time to Read
I happend to meet my friend in the center of a city .,I happened to meet my friend in the center of a city .
"Gain weight , oh man : (","Gained weight , oh man : ("
Japan can be a oil - producing country ? !,Japan can be an oil - producing country ? !
Interview to Foreigner in Insadong,Interview a foreigner in Insadong
Nuclear plant,Nuclear plants
Please help me ! How to explain about Vegetable & Fruits meister ?,Please help me ! How do I explain about Vegetable & Fruits meister ?
My favorite podcast program will be end in this week .,My favorite podcast program will end in this week .
the Toeic Test,The TOEIC Test
Are you writing the diary ?,Are you writing a diary ?
Back - to - school sale,Back - to - School Sale
I Head My Gum .,My Gum Hurts
I feel pain in my nose . .,I feel ( some ) pain in my nose . / My nose hurts
Shut out from Lab,Shut out from the Lab
Hi ~ it 's the first time,Hi ~ it 's my first time
My first diary !,My first diary entry !
prepare for final exam,preparation for my final exam
amazing website,an amazing website
Donation page,Donation Page
Today 's my first day to start Lang - 8 .,Today 's my first day to start Lang - 8 .
It is difficult to use English for my work !,It is difficult to use English at work !
I got nice video on Youtube .,I found a nice video on Youtube .
Introduce of my company,Introduction of My Company
My sister so sad .,My sister is so sad .
Thanks a lot for your corrections always .,"Thanks a lot for your corrections , as always ."
11 / 07 / 5 Tues . `` Do Myself ``,11 / 07 / 5 Tues . `` Do it Myself ``
Food food and sweet,"Food , food , and sweets"
I finished my job at highschool,I finished my job in a certain highschool
Our chef are sicking,Our chef is sick
How do you summer vacation ?,How do you spend your summer vacation ?
Enjoy countryside,Enjoying the countryside
Do you have enough sleeping time ?,Do you get enough sleep ?
there is a visitor in my house,There is a visitor in my house
What should I write at here ?,What should I write here ?
who is he ?,Who is He ?
Finishing my active season,The end of my active season
I 'm gon na take class of English .,I 'm going to take English classes .
Please tell me if I can say like this !,Please tell me if I can say this sentence like this !
Fall in love with Green Gables 1,Falling in love with Green Gables 1
I upload a photograph .,I uploaded a photograph .
Question to you,Question for you
Hello ! It 's first time to write this .,Hello ! It 's my first time writing here .
Thanks for Xenon623 !,Thanks Xenon623 !
part - time job,Part - time Job
Get a snow board wear .,Gettting a snow boarding outfit .
Today 's feeling,How I am feeling today
Moving for Hamamatsu,Moving to Hamamatsu
Poster of my room .,Poster in my room .
night view in tokyo,Night view in Tokyo
The reply for new job offer,The reply for a new job offer
Bad new,Bad news
I went to Nikka whisky factory .,I went to Nikka Whisky Factory .
Hollo 2011,Hello 2011
Today I bought a ticket that to Window of the World Beer Festival,Today I bought a ticket that to the Window of the World Beer Festival .
I 'm going to go the drinkng party .,I 'm going to the drinkng party .
Case of asking about a shop that has maternity clothes in an apparel storefront,Case of asking about a shop that has maternity clothes in the storefront
using forein languages,using foreign languages
Forget something,Forgot something
no peace because of piece of glasses,No peace because of pieces of glass
My feeling down .,I am feeling down
"If parents want their children to do well at school , they should limit the time their children spend on watching TV ?","If parents want their children to do well at school , should they limit the time their children spend watching TV ?"
miss you,Missing you .
I released iPhone app .,I Released an iPhone App .
I want create eBay stores,I want create a eBay store
Nice to meet you !,Nice to meet you !
