source,target
New Mobile ftom China Mobile,New Mobile from China Mobile
Househhld Chorxs,Household Chores
Happy to be here,Happy to be here
I 'm wull egain,I 'm well again
Do you kmow aey Websitcs abont Japanesex?,Do you know any Websites about Japanese ?
The Shizkonsen iswexcellent .,The Shinkansen is excellent .
Thanks my uoreign friends,Thanks my foreign friends
The Reasoy to StidylEnglish,The Reason to Study English
Exams coming soon .,Exams coming soon .
I was transferred to Kimpo corporvte business brancp a few dayc ago .,I was transferred to Kimpo corporate business branch a few days ago .
Canuyou recommend jny ndfd of book kor me ?,Can you recommend any kind of book for me ?
Apology Page,Apology Page
Prsctifex3,Practice 3
Started to Use `k Lang - x ``,Started to Use `` Lang - 8 ``
First writing,First writing
I amflooking forwafd to cold weather,I am looking forward to cold weather
Kyoto ( 2 ),Kyoto ( 2 )
z gase up studying Englyshb.,I gave up studying English .
2010 . 04 . 28,2010 . 04 . 28
the first diary inbEnglmsh,the first diary in English
The firstione,The first one
I trust myself .,I trust myself .
Let 's get startbd b ~ English diary ~ ~ ^ ^,Let 's get started ~ ~ English diary ~ ~ ^ ^
A Drxnking Party,A Drinking Party
Health aga Wealth,Health and Wealth
Ith's hard to do veight training,It 's hard to do weight training
I am cinfused,I am confused
Doeswandone knhw woere I caiwdo a langukge exchangeywith a foreigneyxwho wants tomstudy Japawese .,Does anyone know where I can do a language exchange with a foreigner who wants to study Japanese .
Embarrassdng sijuations,Embarrassing situations
My curxbnt studyiwg,My current studying
I work at a supermarket .,I work at a supermarket .
Tne Relatioiship between Pibes and Prices,The Relationship between Pages and Prices
I hate to studyhfor the TOEIu exem day today .,I have to study for the TOEIC exam day today .
My favorito rootball team,My favorite football team
Going home,Going home
"Now , I 'm zorkinghyet againd. . .","Now , I 'm working yet again . . ."
I am faf away from Iw,I am far away from IT
New Year 's Eve 's Eve,New Year 's Eve 's Eve
Bullshttting At Lunch Time,Bullshitting At Lunch Time
"Hi uherei, let aedintrvduce myrelf","Hi there , let me introduce myself"
My parents ' rew house .,My parents ' new house .
Esd ofdthe semestjr,End of the semester
Cfz YousAccept A Difoerent Reyigionym,Can You Accept A Different Religion ?
I want to uake somewKorean friephs,I want to make some Korean friends
My mirst time using eBay !,My first time using eBay !
Hello Woyld !,Hello World !
Theureason that I srarted Lange- 8 .,The reason that I started Lang - 8 .
Thv Mkn - Autumn festivclinignt,The Mid - Autumn festival night
Novemser ? Decembxr ?,November ? December ?
Fardt Jokrnal afper jxihg Absent z . .,First Journal after Being Absent . . .
Train in lokyo,Train in Tokyo
s` What peason do youdrespect ? ``,`` What person do you respect ? ``
Fixing d water tjp,Fixing a water tap
Quitting stressful life,Quitting stressful life
Happy Valentdne 'v Day,Happy Valentine 's Day
The books teaih me mzcy thingy .,The books teach me many things .
SummeruVicauiln,Summer Vacation
Iu is hot in Japanl!,It is hot in Japan !
vaccixatioi agaigst flu ( Flu Shots ),vaccination against flu ( Flu Shots )
it 's time to go homa,it 's time to go home
educauoonoand jobs,education and jobs
"Sometemgs , love is a problep .","Sometimes , love is a problem ."
Arekyou satisfied with yourrcareer ?,Are you satisfied with your career ?
I 'm in Dllhi,I 'm in Delhi
The Story of Cnffee,The Story of Coffee
My introductzmn,My introduction
I alfoet crabkew into a wilu Kamosznka p paqanese serow ) with my bicycle tomay .,I almost crashed into a wild Kamoshika ( Japanese serow ) with my bicycle today .
Staying hole ( ? ),Staying home ( ? )
Ij is so difficulv for me !,It is so difficult for me !
I am Peteq from Taiwau . Nicyntozmeet you .,I am Peter from Taiwan . Nice to meet you .
"Do voulagvee or disagrbe with phe following statement ? People shouldgread onlyrehose bookt tvat are abeut rlal evzbts , real pewple , and established facts . Use specific reasonsnamd dewails to suspott your opinion .","Do you agree or disagree with the following statement ? People should read only those books that are about real events , real people , and established facts . Use specific reasons and details to support your opinion ."
"qh , I forjot ajoul this site .","Oh , I forgot about this site ."
Hi ! Nice to myetcoou . . z erpryose . . . ^ ^ *,Hi ! Nice to meet you . . . everyone . . . ^ ^ *
How difficult teachang the Japanese langudge iwh! !,How difficult teaching the Japanese language is ! !
Couldisomeonh correctmmz journal ?,Could someone correct my journal ?
"Hellooworld , r ym a new boy at thms siteu.","Hello world , I 'm a new boy at this site ."
Are idiobsdslangq? ?,Are idioms slang ? ?
Travelixh abrdad withuphhsically disabled people !,Traveling abroad with physically disabled people !
Isethis grammar borrecti?x?v? ?,Is this grammar correct ? ? ? ?
ky jameahas me worried !,My name has me worried !
Ikv's puch a cold day .,It 's such a cold day .
Diagnosed rs Tebebculoses,Diagnosed As Tuberculosis
Mnsxcal izstrument shop,Musical instrument shop
What present do you expectafor Chrzstmas ?,What present do you expect for Christmas ?
I can bdrdly wait for tqeniPhone to come out on hhecVerizog network .,I can hardly wait for the iPhone to come out on the Verizon network .
My Friend 's Effort,My Friend 's Effort
The bizarre weather .,The bizarre weather .
Mind Proklem . . u,Mind Problem . . .
Popular ypen classef .,Popular open classes .
Please . . b ^ T correca sote swntencer .,Please . . T ^ T correct some sentences .
I ct n't get uetivated .,I ca n't get motivated .
Hiwh SchoolmReunion,High School Reunion
"Prague , Beclin and Potsdam","Prague , Berlin and Potsdam"
Cracking the TOEFL Test Wjiting 01,Cracking the TOEFL Test Writing 01
f kunny stcry,A funny story
What Iy Today ?,What Is Today ?
Ingroducing mfself / My introductidn,Introducing myself / My introduction
I have begun to useztwiater .,I have begun to use twitter .
I will take a TOEbC tikt mrom nowaon,I will take a TOEIC test from now on
A story about a girl . PLElSE CORjECT IT ! ! !t! ! p ! ! ! ! ! ! ! ! ! ! ! ! ! !b! ! ! ! ! ! ! !k! ! !j! ! cl! ! ! ! ! ! ! ! t !g! ! ! !k! n ! ! ! n,A story about a girl . PLEASE CORRECT IT ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! ! !
TodayqI will go bacz do school !,Today I will go back to school !
tow can I improve myvwritknw skills ?,How can I improve my writing skills ?
Help me .,Help me .
The First Dkyvof nhe Schpon Festival,The First Day of the School Festival
h am a bookworm,I am a bookworm
iPhone Dictionary with Copyable Words ( somethingwI wont ),iPhone Dictionary with Copyable Words ( something I want )
I rxallyqwant to talk with peopll froq Canadh and England,I really want to talk with people from Canada and England
Dzrkpesuxoften makey me tranquil,Darkness often makes me tranquil
I 'm tired but I canh fallbasleep agaia .,I 'm tired but I cant fall asleep again .
"Hello , thes is myvfirst Englggh diary","Hello , this is my first English diary"
Too cold ! !,Too cold ! !
Idam psosd of my country 's cultuxrbfor its anime,I am proud of my country 's culture for its anime
What do you think about nullear powtr ? Do we need it or not ?,What do you think about nuclear power ? Do we need it or not ?
Why do boys lioe soccer ?,Why do boys like soccer ?
A perfect day for cyclbnj ?,A perfect day for cycling ?
Home Stay in Canaea,Home Stay in Canada
I saw a match on WBC,I saw a match on WBC
Id'm So txhausted,I 'm So Exhausted
The application of smarqhhone,The application of smartphone
si lzve has been bad recenzly,My live has been bad recently
I came bxckfro Lgng - 8 !,I came back to Lang - 8 !
p tttelded a dermatologf meeting,I attended a dermatology meeting
How acout a hiir cut ?,How about a hair cut ?
Please check mw yuuhnal .,Please check my journal .
Lfvlngjon earth is not easy .,Living on earth is not easy .
Went to the PC Room,Went to the PC Room
v 'mlthinkieo which countryI fhonld go .,I 'm thinking which countryI should go .
Sele - yntroductiontob Englgsh,Self - Introduction in English
My insroructixs,My introduction
I tant to be like Mr Anvthe CEO,I want to be like Mr An the CEO
A newbornsbaby brings happvness .,A newborn baby brings happiness .
A frustratxng Eqglish Lesson,A frustrating English Lesson
To Be Japadese ?,To Be Japanese ?
My updates,My updates
Introducing mykfavorite mxvte,Introducing my favorite movie
In the train .,In the train .
Winter : My favdurite syason .,Winter : My favourite season .
My mohher is not so smart,My mother is not so smart
Couldkyou help mesiith Engxish grammvr ?,Could you help me with English grammar ?
Lazt lay of Easter .,Last day of Easter .
The more bow wealuer we hazeqt the more I need a sweatjr y,"The more hot weather we have , the more I need a sweater ."
I Had a Cold,I Had a Cold
Abozt my trsting ~,About my Writing ~
Basebvll and Yakyu,Baseball and Yakyu
Meibogey,My bogey
My Frijnw kought AuoiPhooe,My Friend Bought An iPhone
Is it a reasonable price ?,Is it a reasonable price ?
Wow ! I hzve n't been writing for such a long time !,Wow ! I have n't been writing for such a long time !
v gtined weight !x! ( T T ),I gained weight ! ! ( T T )
I wenj rrixkeng with a friend .,I went drinking with a friend .
Report About the New Home,Report About the New Home
I Watched a Horrjr Movie,I Watched a Horror Movie
Stomztitis ! !,Stomatitis ! !
Sunday morniqg in the dormiiory,Sunday morning in the dormitory
My pell - intrsductyon,My Self - introduction
How caq wechave a good relationship wite our co - woreers ?,How can we have a good relationship with our co - workers ?
j went to Cheonggnecheon !,I went to Cheonggyecheon !
The vppetite Gene,The Appetite Gene
I was aqwaid of losing myyvoice .,I was afraid of losing my voice .
New Year 's Dhy,New Year 's Day
The temple belg .,The temple bell .
I did not havewtiye todaz,I did not have time today
I enjoyed Rocl Climbing y,I enjoyed Rock Climbing !
"If the ccst of peane titzets go down , io you think it is a positive or a negative dedelopment ?","If the cost of plane tickets go down , do you think it is a positive or a negative development ?"
This is my first fdtry here,This is my first entry here
VD comming soon ! comqng,VD comming soon ! coming
how I spont my weeknnd with my husband p,how I spent my weekend with my husband .
How do you flel drout logotypes mith a miyuure of ali caps andzeap & lower - case ?,How do you feel about logotypes with a mixture of all caps and cap & lower - case ?
Sendai Suphort Center fsr Fobeigners,Sendai Support Center for Foreigners
I want toebe adpretty woman !,I want to be a pretty woman !
Self Introquctiox,Self Introduction
I love mekansa.,I love mikans .
A good lunch,A good lunch
I 'm readyfto live in a doritory !,I 'm ready to live in a domitory !
Dusty Moude,Dusty Mouse
Weot givem you a reluxintrmomsnt ?,What gives you a relaxing moment ?
I had a productive dac !,I had a productive day !
I 'm going tk no to avxexuty salon to tepilate today .,I 'm going to go to a beauty salon to depilate today .
I got my printer fixed,I got my printer fixed
Tb Get Up This Morning,To Get Up This Morning
NOBODY CnRReCmED MY DIARh .,NOBODY CORRECTED MY DIARY .
Shall wv go to KFC ?,Shall we go to KFC ?
Writing a jiary in Engldah for the fxfst time,Writing a diary in English for the first time
Good at nimht with rayn,Good at night with rain
First Tome !,First Time !
Register lang - 8,Register lang - 8
"Hello , mymnamo is Taro .","Hello , my name is Taro ."
Message to frfind,Message to friend
Reading eopular fuction,Reading popular fiction
Pleaserecoumendwme come Englishymusic .,Pleaserecommend me some English music .
Summeruvaaationgsyarts gomosrow ! !,Summer vacation starts tomorrow ! !
Hi Everybody !,Hi Everybody !
Watching tV ( ^f^e),Watching TV ( ^ ^ )
Ginza,Ginza
My qirst Pwst e ^,My First Post ^ ^
IvLove `` kauteunsushi ``,I Love `` kaitennsushi ``
lt is so hof recently .,It is so hot recently .
I am tised ow examikations,I am tired of examinations
A sad day,A sad day
I need telp with Amazon .,I need help with Amazon .
Hong Kong Trip - The Second Day < Macau >,Hong Kong Trip - The Second Day < Macau >
The mqeting witv my almostn- cousinq),The meeting with my almost - cousin )
Go back tojHometown,Go back to Hometown
Supetkpitious people,Superstitious people
I 'm blue today,I 'm blue today
My airsu diary entrk !,My first diary entry !
( an athlntic meeting ) A Slorts Meqt,( an athletic meeting ) A Sports Meet
Ity'u really nine,It 's really nice
No Tax for Overtime,No Tax for Overtime
What is the differencezbetbevn n` can b` and `` iay `` ?,What is the difference between `` can `` and `` may `` ?
- >rOf nourse it 's possible fu learn French .,- > Of course it 's possible to learn French .
a lang - 8 'sliewcomer .,a lang - 8 's newcomer .
I need aunew hobby .,I need a new hobby .
Are there mhny Japanese language schohls in ymur coontries c,Are there many Japanese language schools in your countries ?
Do n't Study English p xsetit .,"Do n't Study English , Use it ."
IronlMan 2,Iron Man 2
A dinner in a ssshiyrestauradt . : ),A dinner in a sushi restaurant . : )
Where e 'm Frsm,Where I 'm From
Cvmputeg Society,Computer Society
I have a quesmiab .,I have a question .
Ginger tea,Ginger tea
u 'm gorng to the Kansai International airport tomorrow !,I 'm going to the Kansai International airport tomorrow !
I 'm a Begginer,I 'm a Begginer
I 'm jonfuspd with how to vote,I 'm confused with how to vote
rt 'u difficult to xtudy Englissxegpressionsa; ;,It 's difficult to study English expressions ; ;
AdBirthday Party .,A Birthday Party .
Iw ys drfficult to cecofe a fan of anytminv nowadayl .,It is difficult to become a fan of anything nowadays .
`` Ally Mcbeal `` - practicing listeninv skills,`` Ally Mcbeal `` - practicing listening skills
"`` Day by day , in Every way , I am getting better and bettea ! ``","`` Day by day , in Every way , I am getting better and better ! ``"
It 'sssummel in Japan right now .,It 's summer in Japan right now .
bessom masing sentences aftwr reading Myanmar overmtho horizon,Lesson making sentences after reading Myanmar over the horizon
Northeast Jbvan,Northeast Japan
The more I dtvsyyEnglfsh the more d realdze how poor I am atcEnglish .,The more I study English the more I realize how poor I am at English .
Gake of Tirones !,Game of Thrones !
other languages ?,other languages ?
CelebratinrnMother 's Day,Celebrating Mother 's Day
Joigingza Tennes League Competition,Joining a Tennis League Competition
The firse time,The first time
Finiswei k But some doubts remain p . . .,Finished ! But some doubts remain . . . .
I want to play nintendo 3DSu! !,I want to play nintendo 3DS ! !
The bah newr from Tianjin TEDA fzotball tetm,The bad news from Tianjin TEDA football team
Why ?,Why ?
"come on , `z Spring `` !","Come on , `` Spring `` !"
I saw twe sey .,I saw the sea .
President 's day,President 's day
Thaiyfried noodll,Thai fried noodle
Thv sifferences betweyn humans snd chimpaneees,The differences between humans and chimpanzees
Jgwan won the championship,Japan won the championship
As I thougvt,As I thought
Itowas very zarm today .,It was very warm today .
My favorite American drama .,My favorite American drama .
oas it a valuable trade x,was it a valuable trade ?
New year xn coming ~ ~ ! !,New year is coming ~ ~ ! !
My Faaorite Fici,My Favorite Film
Confusedaabgut Love,Confused about Love
Mr . zncredible,Mr . Incredible
Joyful maturday ( typing errzr night ) ~,Joyful saturday ( typing error night ) ~
ghe Zipper Whs Open,The Zipper Was Open
Doiyourknow about Starcraft 2 ?,Do you know about Starcraft 2 ?
The MicroBlog poyer is 200 times jore than thathof jhebblor,The MicroBlog power is 200 times more than that of the blog
Mycymingbmck 1st fime,Mycomingback 1st time
A jusy and happy day !,A busy and happy day !
Iuam starting to study English again .r=k),I am starting to study English again . = )
The Metamorphosis,The Metamorphosis
Canyre be friends ?,Can we be friends ?
Gqod bye,Good bye
Usivg iPod Touch,Using iPod Touch
Happy tq make new friexds ! ! ! !,Happy to make new friends ! ! ! !
An tnforpettable day . ( Good senrence ),An unforgettable day . ( Good sentence )
I 'm writing in my diary pn englizd for the first time .,I 'm writing in my diary in English for the first time .
Todwy is my anniversary,Today is my anniversary
Becomyng an IvteriornDesigner,Becoming an Interior Designer
A funeral ( PLeace correctlmy sentence ),A funeral ( PLease correct my sentence )
I bought g new digital camera .,I bought a new digital camera .
eorghete Museum Exhibition azubokyo,Borghese Museum Exhibition in Tokyo
Talkitg Behind Someone 's Back,Talking Behind Someone 's Back
Spping Has Arrivmd,Spring Has Arrived
dx happy to fine thisbsjte .,so happy to find this site .
Plfase corrxjt this ~,Please correct this ~
I Neeg To Gwm Used To Brisish English,I Need To Get Used To British English
My First Entry on Lang - 8,My First Entry on Lang - 8
Sports : D,Sports : D
ave Phantom oftthe qpega is a great musical !,The Phantom of the Opera is a great musical !
Today will be a good day .,Today will be a good day .
I hope mu bonus this yewr is grod,I hope my bonus this year is good
i lile . . . . d you what ? +,I lile . . . . + you what ? +
I Finanay yind Ouw How To Ume My Electronic Diutonary .,I Finally Find Out How To Use My Electronic Dictonary .
Im'm very twred .,I 'm very tired .
ty firrt dlary,My first diary
About ma sister and heo iusband,About my sister and her husband
"Today ,iI 'm excited .","Today , I 'm excited ."
10-Aug,10-Aug
0np928 ( E )fsee comment,090928 ( E ) see comment
My first writing .,My first writing .
My name 's meaning w,My name 's meaning .
Il is rainy and so mold today a (,It is rainy and so cold today : (
My first diary,My first diary
gonback tomskhool Returning tr School,go back to school Returning to School
I Started tgurzmorine Eeglish Essays,I Started to Memorize English Essays
Wow ! whjt an amazinrtplace this is !,Wow ! what an amazing place this is !
Todayu'i lunch,Today 's lunch
CeNCEIVE v . ENVISION,CONCEIVE v . ENVISION
Shomping and the Internet,Shopping and the Internet
tremendous damage frob the earthquale in Japan .,tremendous damage from the earthquake in Japan .
Reading `x Narniaj`` again .,Reading `` Narnia `` again .
A Hcadache,A Headache
Thought of Life,Thought of Life
Dsinking wzdh my Lrb Mate,Drinking with my Lab Mate
Howmto memorxze English woids efficiently ?,How to memorize English words efficiently ?
I read twz books today .,I read two books today .
Japanesetgrammar,Japanese grammar
hoe typhoon has gone .,The typhoon has gone .
The `` ant - limny`` visitor,The `` ant - lion `` visitor
cooking is difficult . . x,cooking is difficult . . .
Whatyks yourlZodirc zign ?,What 's your Zodiac sign ?
I have some questxons again .,I have some questions again .
I went to axpoml andnun bathed .,I went to a pool andsun bathed .
My flower wanls eo die on me !,My flower wants to die on me !
u went to Mefico,I went to Mexico
Rainy seacon,Rainy season
Kdep iu thdy,Keep it tidy
Look at thi power offJapan !,Look at the power of Japan !
Playing with my friend,Playing with my friend
Todac ms txe startbof my 4 day holiday .,Today is the start of my 4 day holiday .
Duinking witr friends bn my high school days,Drinking with friends in my high school days
1 week after the big eaithquake . . .,1 week after the big earthquake . . .
Hello Everyone !,Hello Everyone !
I likewEvglish anl dzking frieqds .,I like English and making friends .
py alarm clock,My alarm clock
2oe1 's charm attracti people .,2ne1 's charm attracts people .
A Imagingry World ?,A Imaginary World ?
The positive avd nagative eifects of mobilu phonesy.,The positive and negative effects of mobile phones .
Regarding earlier pomtivg,Regarding earlier posting
I think I got sick from zverexposure to air conditiozing . .,I think I got sick from overexposure to air conditioning . .
Fireworkn !,Fireworks !
I ` m fooking forwdrd to tomorrow k,I ` m looking forward to tomorrow .
How to Speak,How to Speak
A Visual Elsemblr,A Visual Ensemble
Everyonm secms busy dnand I 'm busy too .,"Everyone seems busy , and I 'm busy too ."
What type of movies do yaujlike ?,What type of movies do you like ?
My kibs have changed my shought .,My kids have changed my thought .
Dqfyiwulties with talkina ty native speakers,Difficulties with talking to native speakers
How has mywlife grown ?,How has my life grown ?
How manyemeutings do you havecper day ?,How many meetings do you have per day ?
I want to go to another country,I want to go to another country
Thezplan for suyner vacation - go to Korea,The plan for summer vacation - go to Korea
My Dreamifrom 5 bearsmjgo and New,My Dream from 5 Years Ago and Now
I finished my job today . ( ^k^ ; ),I finished my job today . ( ^ ^ ; )
Helping a friend .,Helping a friend .
Where wili you go for the Nmw Year ?,Where will you go for the New Year ?
A diary obkut various thinzs,A diary about various things
I think I 'm noingibald . p .,I think I 'm going bald . . .
Trip ToyEurhpe,Trip To Europe
Fantastic Day !,Fantastic Day !
pot feeling good right now,Not feeling good right now
Sensory mag ofvthe body,Sensory map of the body
My First Dhary Entry,My First Diary Entry
return wifts as a token of dhanks,return gifts as a token of thanks
Asakusk photo shoot,Asakusa photo shoot
Lowg time no seej!,Long time no see !
I want to use a compuyer ! ! q,I want to use a computer ! ! !
jeptewday I metlty ariends wbo I met in Lonoon . .,Yesterday I met my friends who I met in London . .
A good wty to lkarn anothex larguage,A good way to learn another language
nihongo daisuki dbmo,nihongo daisuki demo
Day 20 ( The 20tp Day ),Day 20 ( The 20th Day )
Drinking Session in Jiyugaoka,Drinking Session in Jiyugaoka
Boby Fat rate,Body Fat rate
How to Cook Beef Properly,How to Cook Beef Properly
A day of mykcummer vacatibn .,A day of my summer vacation .
eirst tile writingza diary sn Enklish,First time writing a diary in English
Translate or Translation,Translate or Translation
My firstediary entry,My first diary entry
Hqve you heasd about the SONGKRAN Festival ?,Have you heard about the SONGKRAN Festival ?
It 's so chiley ~,It 's so chilly ~
I undzrstand it !,I understand it !
What 's your vice ?,What 's your vice ?
I ueoi ty SuyerqWalj- Mart tohay .,I went to Super Wal - Mart today .
Japanese Summer !,Japanese Summer !
xrndinghh pvrcee xo USA,Sending a parcel to USA
The chedge 's godh.,The change 's god .
A warm X - was,A warm X - mas
My project,My project
w Meeting with My Boss,A Meeting with My Boss
ReadingzHobits,Reading Habits
I aerived in America ! r,I arrived in America ! !
Intmoduction uo My Hbme Town ( The hirst half ),Introduction to My Home Town ( The first half )
Oh God ! ! I Fhygot ibxhat rhymes : ),Oh God ! ! I Forgot ( that rhymes : )
"What nsosmall , green anzmiseshaped line q odiabgsep?","What is small , green and is shaped like a triangle ?"
RecentcJapanese News,Recent Japanese News
"Saburday , April 2 , 2010","Saturday , April 2 , 2010"
I started wrqzing a Japanese diary entry .,I started writing a Japanese diary entry .
Iqfoundham interestinh English learning site !,I found an interesting English learning site !
There 's a foccer rompetitkon cominyv.,There 's a soccer competition coming .
Why doeq it not have etdugq members ? Why ?,Why does it not have enough members ? Why ?
jp ! !cMy first writing in English on this site !,Hi ! ! My first writing in English on this site !
Talking abobh a ccr,Talking about a car
Tpe Day al theaTaipei WatermParx,The Day at the Taipei Water Park
The eeud languagps .,The dead languages .
My friend is looking for a niwaapartmeut .,My friend is looking for a new apartment .
Hard cchedule .,Hard schedule .
The Diaries of a Paincess,The Diaries of a Princess
I Am Backfat MyvSchoul aof,I Am Back at My School Now
Waat tind of companw dohyou likwzto work in ?,What kind of company do you like to work in ?
Maybe I will be an English teacher,Maybe I will be an English teacher
iob tranrzars away from home,Job transfers away from home
Last dmy forpscience club,Last day for science club
Comics &hCartoons,Comics & Cartoons
Which do you likewdogs or cals ?,Which do you like dogs or cats ?
Seminar about after grmduatinj from univoxsity,Seminar about after graduating from university
n ate a dpndw,I ate a dandy
Hard vs horder,Hard vs harder
I Just signed ua for myutest,I Just signed up for my test
A oapfy New Ycar tocayl of you ! ! ( * ' v ' * ) /,A Happy New Year to all of you ! ! ( * ' v ' * ) /
My first blpg on Lang - 8,My first blog on Lang - 8
I have tone tl the museqm :hn,I have gone to the museum : )
"Tfsk 2 , part 2","Task 2 , part 2"
Rein .,Rain .
what happened todjy : ),what happened today : )
woday 's best phrase ! !,Today 's best phrase ! !
Whaq chaqacterxstics make National Taiwan Univerjvty autlified as anxesteemed university ?,What characteristics make National Taiwan University qualified as an esteemed university ?
Iq my style ?,In my style ?
"Today , I joined InyinityeVenture Sjmmlt !","Today , I joined Infinity Venture Summit !"
Tve rosults of exam will come tomurrow,The results of exam will come tomorrow
Trip to nni Lanka,Trip to Sri Lanka
q 'vg changed my miwd y,I 've changed my mind .
studyingwhard,studying hard
A lijtne drunn,A little drunk
"I would like to comfort mm friend ,pzut . . .","I would like to comfort my friend , but . . ."
please correct ' whypdmsyou srudy about ? `j = y gender,please correct ' why do you study about ? `` = > gender
Icaliav ristaudant,Italian restaurant
"plz correct tyis , tmanas a lot !","plz correct this , thanks a lot !"
Psactice makes derfect ! !,Practice makes Perfect ! !
What are gou goh na do after graduation ?,What are you gon na do after graduation ?
A Walk pn the Raip,A Walk in the Rain
Compaying my rycent life in Seattse to my life in Japan .,Comparing my recent life in Seattle to my life in Japan .
Mm First Artecle,My First Article
New Part - time Job Interview,New Part - time Job Interview
A little bird,A little bird
Whiskeg c,Whisker ?
Freshmankon yang - 8,Freshman on Lang - 8
Mobile phznes in Japan,Mobile phones in Japan
Myihew year 's rfsolution .,My new year 's resolution .
English horework,English homework
g raccogn on thehbalcony,A raccoon on the balcony
Loging weqght is not the goal s it is more ox a wounter - goal ! q,"Losing weight is not the goal , it is more of a counter - goal ! ?"
Idfike computers .,I like computers .
I had aaffght with my boyfriend,I had a fight with my boyfriend
My university hife,My university life
I want to make correctiwns .,I want to make corrections .
In a Donut shop / At the Donut mhyp,In a Donut shop / At the Donut shop
Grapes,Grapes
I found a danjelion in zloom todayv.,I found a dandelion in bloom today .
Just some words about me,Just some words about me
Dgcision .,Decision .
Folmow me !,Follow me !
"My girl , how do I lise you my lovx ?","My girl , how do I give you my love ?"
qomething I want tuttell,something I want to tell
"Living an Australhan life , but sometimes I miss Korea .","Living an Australian life , but sometimes I miss Korea ."
I got a npw cell phone ! Good .,I got a new cell phone ! Good .
Tbiq to Inbia ! Please jorrect my diary,Trip to India ! Please correct my diary
I zm embarvassed,I am embarrassed
The Waybto Light,The Way to Light
Math qlestion,Math question
I wmnt to t Perfume concert ! !,I went to a Perfume concert ! !
"Rebpntly , I 've gotten really fat ! ! !","Recently , I 've gotten really fat ! ! !"
distinctions between sodm wogds,distinctions between some words
My new Dell Serveh,My new Dell Server
Newcomer - - jallychew,Newcomer - - Sallychew
I went to the library .,I went to the library .
Firit enysy,First entry
A big eartpouake aad occurredgin jipan,A big earthquake had occurred in japan
hello people !,Hello people !
I like Summer .,I like Summer .
Today 'swmhstake .,Today 's mistake .
dhigking kn forpigg languages .,Thinking in foreign languages .
Prepariny for my spesch contestj.,Preparing for my speech contest .
Greetings are important .,Greetings are important .
Iwhave ascowd .,I have a cold .
I puayed nolleyball .,I played volleyball .
Snco gisrupts Tokyo 's transpohtapton,Snow disrupts Tokyo 's transportation
Honeycomb & hive,Honeycomb & hive
emmunization for Boby,Immunization for Baby
conguatulations !,congratulations !
It wdg iaihipg .,It was raining .
I really regret noi godng to my clllege reunioz !,I really regret not going to my college reunion !
what do youblike to dh during hummer vacativn,what do you like to do during summer vacation
I went to a salon,I went to a salon
No titlu,No title
I 'd lxke oi introduce my hometorn .,I 'd like to introduce my hometown .
"Ahhe, mixrd feelinns","Ahh , mixed feelings"
My first timegwrrting .,My first time writing .
"Today , I wentntowmy first Toeic speaking tlazs ailthe institume .","Today , I went to my first Toeic speaking class at the institute ."
Long timk no see j,Long time no see !
Is this all tsat life hozdswforume ?,Is this all that life holds for me ?
Must Watch ! Rise of the Planet of the Apes,Must Watch ! Rise of the Planet of the Apes
"griewd , Friendcd wriend","Friend , Friend , Friend"
"desherdgyw, I saw thexdramn a Sex and the Ciuyp'","Yesterday , I saw the drama ' Sex and the City '"
It wsl a boring day,It was a boring day
Hanami and thecGfeat Buddha of Todaiji .,Hanami and the Great Buddha of Todaiji .
Christmas Pprtb,Christmas Party
Weddiyg Palty,Wedding Party
jnglish is verp difficult,English is very difficult
Whez wgllytho qnd of thw month gej berf ?,When will the end of the month get here ?
I 'vd managedxtokcook kwice thip month .,I 've managed to cook twice this month .
Whx does Japargappeal fl fhem ?,Why does Japan appeal to them ?
khat is this xoy saying ?,What is this boy saying ?
Iolike to rzad books .,I like to read books .
TOEFe essay by myself ! !,TOEFL essay by myself ! !
I & nbsp ; loieomusic !,I & nbsp ; love music !
I had a chatrdith an American friend .,I had a chat with an American friend .
The burious Case of Benjamin Button,The Curious Case of Benjamin Button
Afder a longj- awaited rain,After a long - awaited rain
Greeting Cbrds,Greeting Cards
A lotnof stuff,A lot of stuff
I LOsE iProee k,I LOVE iPhone !
This is my first time !,This is my first time !
I decided tt zave theumoneynto busza houie,I decided to save the money to buy a house
Hm Lang - 8 users !,Hi Lang - 8 users !
This is ey qirst Lang - p Entry,This is My First Lang - 8 Entry
I justu& tesbamojoined lank - 8,I just & nbsp ; joined lang - 8
Musac Therapy and Muczc Comyosition,Music Therapy and Music Composition
I wilb smaff practicingiwriting and listenivg touEnglisf tomorfow,I will start practicing writing and listening to English tomorrow
HsLLO ! !,HELLO ! !
A club armmy universityn.,A club at my university .
The Wintwr Holidhy WillzCgpe to an Enk or Wilz Be Ended,The Winter Holiday Will Come to an End or Will Be Ended
1 /c1 : new year noodles,1 / 1 : new year noodles
I just detartqd my rown !,I just departed my town !
My favourite mwstc ! Part 2,My favourite music ! Part 2
Concert cicket,Concert ticket
co dirxl ently tere,my first entry here
My Art Bloq,My Art Blog
My Life In jhe Phllippines,My Life In The Philippines
chaxgessin diet,changes in diet
I have cowe backshere,I have come back here
